ID,membership,split,amounts,note
MS_40_936_sub240_16_8_male_MSfMRI.txt,1,4,2.2222,inUF12_0
MS_5_908_sub205_15_10_male_MSfMRI.txt,1,4,3.3333,inUF12_0
MS_8_905_sub208_16_19_male_MSfMRI.txt,1,4,4.1111,inUF12_0
MS_9_912_sub209_16_6_male_MSfMRI.txt,1,4,1.3333,inUF12_0
NA_10_915_sub110_16_43_female_MSfMRI.txt,1,4,6,inUF12_0
NA_10_915_sub210_13_13_male_MSfMRI.txt,1,4,0,inUF12_0
NA_12_910_sub112_13_11_female_MSfMRI.txt,1,4,6,inUF12_0
NA_12_910_sub212_13_30_male_MSfMRI.txt,1,4,3.6667,inUF12_0
NA_14_914_sub114_14_5_female_MSfMRI.txt,1,4,2,inUF12_0
NA_14_914_sub214_14_22_male_MSfMRI.txt,1,4,1.8889,inUF12_0
NA_15_911_sub115_15_54_female_MSfMRI.txt,1,4,3.8889,inUF12_0
NA_18_923_sub118_11_10_female_MSfMRI.txt,1,4,4.7778,inUF12_0
NA_18_923_sub218_16_12_male_MSfMRI.txt,1,4,1.5556,inUF12_0
NA_2_907_sub102_13_2_female_MSfMRI.txt,1,4,4.3333,inUF12_0
NA_2_907_sub202_14_24_male_MSfMRI.txt,1,4,6,inUF12_0
NA_20_918_sub120_13_46_female_MSfMRI.txt,1,4,1.7778,inUF12_0
NA_20_918_sub220_14_12_male_MSfMRI.txt,1,4,3.3333,inUF12_0
NA_22_922_sub122_15_27_female_MSfMRI.txt,1,4,3.7778,inUF12_0
NA_22_922_sub222_13_22_male_MSfMRI.txt,1,4,2.2222,inUF12_0
NA_23_919_sub223_14_17_male_MSfMRI.txt,1,4,4.5556,inUF12_0
NA_25_931_sub125_13_15_female_MSfMRI.txt,1,4,3.4444,inUF12_0
NA_25_931_sub225_15_12_male_MSfMRI.txt,1,4,0,inUF12_0
NA_27_926_sub127_13_54_female_MSfMRI.txt,1,4,0.2222,inUF12_0
NA_27_926_sub227_15_14_male_MSfMRI.txt,1,4,6,inUF12_0
NA_29_930_sub129_14_45_female_MSfMRI.txt,1,4,4.1111,inUF12_0
NA_29_930_sub229_13_27_male_MSfMRI.txt,1,4,1.6667,inUF12_0
NA_31_927_sub131_14_55_female_MSfMRI.txt,1,4,0.1111,inUF12_0
NA_31_927_sub231_9_21_male_MSfMRI.txt,1,4,5.3333,inUF12_0
NA_33_939_sub133_14_7_female_MSfMRI.txt,1,4,6,inUF12_0
NA_33_939_sub233_11_21_male_MSfMRI.txt,1,4,5.6667,inUF12_0
NA_35_935_sub135_16_36_female_MSfMRI.txt,1,4,2.7778,inUF12_0
NA_35_935_sub235_15_10_male_MSfMRI.txt,1,4,2.2222,inUF12_0
NA_37_934_sub137_13_26_female_MSfMRI.txt,1,4,2.7778,inUF12_0
NA_37_934_sub237_16_17_male_MSfMRI.txt,1,4,6,inUF12_0
NA_38_938_sub138_13_6_female_MSfMRI.txt,1,4,0.4444,inUF12_0
NA_38_938_sub238_13_16_male_MSfMRI.txt,1,4,6,inUF12_0
NA_4_902_sub104_14_26_female_MSfMRI.txt,1,4,0.5556,inUF12_0
NA_4_902_sub204_16_21_male_MSfMRI.txt,1,4,3.2222,inUF12_0
NA_6_906_sub106_15_7_female_MSfMRI.txt,1,4,3.2222,inUF12_0
NA_6_906_sub206_14_27_male_MSfMRI.txt,1,4,6,inUF12_0
